,url,image,title
0,https://www.amazon.com/dp/B01HK0W01E/ref=as_li_ss_tl?&th=1&psc=1&linkCode=ll1&tag=ranjithkmr-20&linkId=345187c33b2399241ab4a1fe86e4ae40&language=en_US,"<a href=""https://www.amazon.com/dp/B01HK0W01E/ref=as_li_ss_il?&th=1&psc=1&linkCode=li2&tag=ranjithkmr-20&linkId=e2a134fd118e9252a4831ce476e3b137&language=en_US"" target=""_blank""><img border=""0"" src=""//ws-na.amazon-adsystem.com/widgets/q?_encoding=UTF8&ASIN=B01HK0W01E&Format=_SL160_&ID=AsinImage&MarketPlace=US&ServiceVersion=20070822&WS=1&tag=ranjithkmr-20&language=en_US"" ></a><img src=""https://ir-na.amazon-adsystem.com/e/ir?t=ranjithkmr-20&language=en_US&l=li2&o=1&a=B01HK0W01E"" width=""1"" height=""1"" border=""0"" alt="""" style=""border:none !important; margin:0px !important;"" />",Bruno Marc Men's Military Motorcycle Combat Boots
1,https://www.amazon.com/dp/B072N8XJ1T/ref=as_li_ss_tl?&th=1&psc=1&linkCode=ll1&tag=ranjithkmr-20&linkId=17db9985a47b5ede492d05cbace8b6ec&language=en_US,"<a href=""https://www.amazon.com/dp/B072N8XJ1T/ref=as_li_ss_il?&th=1&psc=1&linkCode=li2&tag=ranjithkmr-20&linkId=584908b94810299161777c00266b49e6&language=en_US"" target=""_blank""><img border=""0"" src=""//ws-na.amazon-adsystem.com/widgets/q?_encoding=UTF8&ASIN=B072N8XJ1T&Format=_SL160_&ID=AsinImage&MarketPlace=US&ServiceVersion=20070822&WS=1&tag=ranjithkmr-20&language=en_US"" ></a><img src=""https://ir-na.amazon-adsystem.com/e/ir?t=ranjithkmr-20&language=en_US&l=li2&o=1&a=B072N8XJ1T"" width=""1"" height=""1"" border=""0"" alt="""" style=""border:none !important; margin:0px !important;"" />",Bruno Marc Men's Motorcycle Combat Oxford Boots
2,"https://www.amazon.com/Dr-Martens-Chukka-Medium-Womens/dp/B012U9LSRW/ref=as_li_ss_tl?crid=3E9OLWFBTBWN&dchild=1&keywords=doc+martens+alternative&qid=1601197237&sprefix=doc+martens+al,aps,320&sr=8-20&th=1&psc=1&linkCode=ll1&tag=ranjithkmr-20&linkId=7e80c44c6b3c0e53527729b457311157&language=en_US","<a href=""https://www.amazon.com/Dr-Martens-Chukka-Medium-Womens/dp/B012U9LSRW/ref=as_li_ss_il?crid=3E9OLWFBTBWN&dchild=1&keywords=doc+martens+alternative&qid=1601197237&sprefix=doc+martens+al,aps,320&sr=8-20&th=1&psc=1&linkCode=li2&tag=ranjithkmr-20&linkId=dfa2952d81ddbb905abaa64cc113069b&language=en_US"" target=""_blank""><img border=""0"" src=""//ws-na.amazon-adsystem.com/widgets/q?_encoding=UTF8&ASIN=B012U9LSRW&Format=_SL160_&ID=AsinImage&MarketPlace=US&ServiceVersion=20070822&WS=1&tag=ranjithkmr-20&language=en_US"" ></a><img src=""https://ir-na.amazon-adsystem.com/e/ir?t=ranjithkmr-20&language=en_US&l=li2&o=1&a=B012U9LSRW"" width=""1"" height=""1"" border=""0"" alt="""" style=""border:none !important; margin:0px !important;"" />",Dr. Martens Bonny Chukka Boot
3,"https://www.amazon.com/Dr-Martens-Collection-Unisex-Delaney/dp/B00FZKDBO2/ref=as_li_ss_tl?crid=3E9OLWFBTBWN&dchild=1&keywords=doc+martens+alternative&qid=1601197237&sprefix=doc+martens+al,aps,320&sr=8-23&th=1&psc=1&linkCode=ll1&tag=ranjithkmr-20&linkId=20136c55d35faaa9c38e23603e61606d&language=en_US","<a href=""https://www.amazon.com/Dr-Martens-Collection-Unisex-Delaney/dp/B00FZKDBO2/ref=as_li_ss_il?crid=3E9OLWFBTBWN&dchild=1&keywords=doc+martens+alternative&qid=1601197237&sprefix=doc+martens+al,aps,320&sr=8-23&th=1&psc=1&linkCode=li2&tag=ranjithkmr-20&linkId=598a5cf8f94d92f6b3e0d4c6dd552330&language=en_US"" target=""_blank""><img border=""0"" src=""//ws-na.amazon-adsystem.com/widgets/q?_encoding=UTF8&ASIN=B00FZKDBO2&Format=_SL160_&ID=AsinImage&MarketPlace=US&ServiceVersion=20070822&WS=1&tag=ranjithkmr-20&language=en_US"" ></a><img src=""https://ir-na.amazon-adsystem.com/e/ir?t=ranjithkmr-20&language=en_US&l=li2&o=1&a=B00FZKDBO2"" width=""1"" height=""1"" border=""0"" alt="""" style=""border:none !important; margin:0px !important;"" />",Dr. Martens Delaney Boot
4,https://www.amazon.com/dp/B074YVKRP6/ref=as_li_ss_tl?&th=1&psc=1&linkCode=ll1&tag=ranjithkmr-20&linkId=923bd8e66ab7ecddaedfb17c70c67147&language=en_US,"<a href=""https://www.amazon.com/dp/B074YVKRP6/ref=as_li_ss_il?&th=1&psc=1&linkCode=li2&tag=ranjithkmr-20&linkId=db768c2321f47c94acab133fe4d5e4a3&language=en_US"" target=""_blank""><img border=""0"" src=""//ws-na.amazon-adsystem.com/widgets/q?_encoding=UTF8&ASIN=B074YVKRP6&Format=_SL160_&ID=AsinImage&MarketPlace=US&ServiceVersion=20070822&WS=1&tag=ranjithkmr-20&language=en_US"" ></a><img src=""https://ir-na.amazon-adsystem.com/e/ir?t=ranjithkmr-20&language=en_US&l=li2&o=1&a=B074YVKRP6"" width=""1"" height=""1"" border=""0"" alt="""" style=""border:none !important; margin:0px !important;"" />",Resonda Women Fashion Leather Ankle Bootie Casual lace up Short Combat Boots for Girls
5,https://www.amazon.com/dp/B0741QN8M7/ref=as_li_ss_tl?&th=1&psc=1&linkCode=ll1&tag=ranjithkmr-20&linkId=53618c39ca96d149070e531b1a0eb4f1&language=en_US,"<a href=""https://www.amazon.com/dp/B0741QN8M7/ref=as_li_ss_il?&th=1&psc=1&linkCode=li2&tag=ranjithkmr-20&linkId=63cfa98a0f6e7d01f6c0280ca328a9c9&language=en_US"" target=""_blank""><img border=""0"" src=""//ws-na.amazon-adsystem.com/widgets/q?_encoding=UTF8&ASIN=B0741QN8M7&Format=_SL160_&ID=AsinImage&MarketPlace=US&ServiceVersion=20070822&WS=1&tag=ranjithkmr-20&language=en_US"" ></a><img src=""https://ir-na.amazon-adsystem.com/e/ir?t=ranjithkmr-20&language=en_US&l=li2&o=1&a=B0741QN8M7"" width=""1"" height=""1"" border=""0"" alt="""" style=""border:none !important; margin:0px !important;"" />",Polar Fox Brady MPX508571 Mens Casual Classic Combat Fur Lined High-Top Motorcycle Boots
6,https://www.amazon.com/dp/B07B9CN83Q/ref=as_li_ss_tl?&th=1&psc=1&linkCode=ll1&tag=ranjithkmr-20&linkId=79168ab4a117bc31e077ebb5603ffde3&language=en_US,"<a href=""https://www.amazon.com/dp/B07B9CN83Q/ref=as_li_ss_il?&th=1&psc=1&linkCode=li2&tag=ranjithkmr-20&linkId=f5f7768916beb4cde7e4e4b5347b7cd0&language=en_US"" target=""_blank""><img border=""0"" src=""//ws-na.amazon-adsystem.com/widgets/q?_encoding=UTF8&ASIN=B07B9CN83Q&Format=_SL160_&ID=AsinImage&MarketPlace=US&ServiceVersion=20070822&WS=1&tag=ranjithkmr-20&language=en_US"" ></a><img src=""https://ir-na.amazon-adsystem.com/e/ir?t=ranjithkmr-20&language=en_US&l=li2&o=1&a=B07B9CN83Q"" width=""1"" height=""1"" border=""0"" alt="""" style=""border:none !important; margin:0px !important;"" />",Koask Women's Round Toe Lase-up Ankle Boots Ladies Leather Combat Booties Fashion Boots
